,tile_ID,geometry,position
0,0,"POLYGON ((-74.0472219 40.68734705207218, -74.0472219 40.69075283008188, -74.04273032357939 40.69075283008188, -74.04273032357939 40.68734705207218, -74.0472219 40.68734705207218))","[0, 1]"
1,1,"POLYGON ((-74.0472219 40.69075283008188, -74.0472219 40.69415843402594, -74.04273032357939 40.69415843402594, -74.04273032357939 40.69075283008188, -74.0472219 40.69075283008188))","[0, 2]"
2,2,"POLYGON ((-74.04273032357939 40.69756386390123, -74.04273032357939 40.70096911970464, -74.0382387471588 40.70096911970464, -74.0382387471588 40.69756386390123, -74.04273032357939 40.69756386390123))","[1, 4]"
3,3,"POLYGON ((-74.0292555943176 40.68394109999999, -74.0292555943176 40.68734705207218, -74.024764017897 40.68734705207218, -74.024764017897 40.68394109999999, -74.0292555943176 40.68394109999999))","[4, 0]"
4,4,"POLYGON ((-74.0292555943176 40.68734705207218, -74.0292555943176 40.69075283008188, -74.024764017897 40.69075283008188, -74.024764017897 40.68734705207218, -74.0292555943176 40.68734705207218))","[4, 1]"
5,5,"POLYGON ((-74.024764017897 40.68394109999999, -74.024764017897 40.68734705207218, -74.02027244147641 40.68734705207218, -74.02027244147641 40.68394109999999, -74.024764017897 40.68394109999999))","[5, 0]"
6,6,"POLYGON ((-74.024764017897 40.68734705207218, -74.024764017897 40.69075283008188, -74.02027244147641 40.69075283008188, -74.02027244147641 40.68734705207218, -74.024764017897 40.68734705207218))","[5, 1]"
7,7,"POLYGON ((-74.024764017897 40.69075283008188, -74.024764017897 40.69415843402594, -74.02027244147641 40.69415843402594, -74.02027244147641 40.69075283008188, -74.024764017897 40.69075283008188))","[5, 2]"
8,8,"POLYGON ((-74.02027244147641 40.68394109999999, -74.02027244147641 40.68734705207218, -74.0157808650558 40.68734705207218, -74.0157808650558 40.68394109999999, -74.02027244147641 40.68394109999999))","[6, 0]"
9,9,"POLYGON ((-74.02027244147641 40.68734705207218, -74.02027244147641 40.69075283008188, -74.0157808650558 40.69075283008188, -74.0157808650558 40.68734705207218, -74.02027244147641 40.68734705207218))","[6, 1]"
10,10,"POLYGON ((-74.02027244147641 40.69075283008188, -74.02027244147641 40.69415843402594, -74.0157808650558 40.69415843402594, -74.0157808650558 40.69075283008188, -74.02027244147641 40.69075283008188))","[6, 2]"
11,11,"POLYGON ((-74.02027244147641 40.70096911970464, -74.02027244147641 40.70437420143299, -74.0157808650558 40.70437420143299, -74.0157808650558 40.70096911970464, -74.02027244147641 40.70096911970464))","[6, 5]"
12,12,"POLYGON ((-74.02027244147641 40.70437420143299, -74.02027244147641 40.7077791090832, -74.0157808650558 40.7077791090832, -74.0157808650558 40.70437420143299, -74.02027244147641 40.70437420143299))","[6, 6]"
13,13,"POLYGON ((-74.02027244147641 40.7077791090832, -74.02027244147641 40.71118384265213, -74.0157808650558 40.71118384265213, -74.0157808650558 40.7077791090832, -74.02027244147641 40.7077791090832))","[6, 7]"
14,14,"POLYGON ((-74.02027244147641 40.71118384265213, -74.02027244147641 40.71458840213665, -74.0157808650558 40.71458840213665, -74.0157808650558 40.71118384265213, -74.02027244147641 40.71118384265213))","[6, 8]"
15,15,"POLYGON ((-74.02027244147641 40.71458840213665, -74.02027244147641 40.71799278753365, -74.0157808650558 40.71799278753365, -74.0157808650558 40.71458840213665, -74.02027244147641 40.71458840213665))","[6, 9]"
16,16,"POLYGON ((-74.02027244147641 40.71799278753365, -74.02027244147641 40.72139699884001, -74.0157808650558 40.72139699884001, -74.0157808650558 40.71799278753365, -74.02027244147641 40.71799278753365))","[6, 10]"
17,17,"POLYGON ((-74.02027244147641 40.72139699884001, -74.02027244147641 40.72480103605261, -74.0157808650558 40.72480103605261, -74.0157808650558 40.72139699884001, -74.02027244147641 40.72139699884001))","[6, 11]"
18,18,"POLYGON ((-74.0157808650558 40.68394109999999, -74.0157808650558 40.68734705207218, -74.01128928863521 40.68734705207218, -74.01128928863521 40.68394109999999, -74.0157808650558 40.68394109999999))","[7, 0]"
19,19,"POLYGON ((-74.0157808650558 40.68734705207218, -74.0157808650558 40.69075283008188, -74.01128928863521 40.69075283008188, -74.01128928863521 40.68734705207218, -74.0157808650558 40.68734705207218))","[7, 1]"
20,20,"POLYGON ((-74.0157808650558 40.69075283008188, -74.0157808650558 40.69415843402594, -74.01128928863521 40.69415843402594, -74.01128928863521 40.69075283008188, -74.0157808650558 40.69075283008188))","[7, 2]"
21,21,"POLYGON ((-74.0157808650558 40.69756386390123, -74.0157808650558 40.70096911970464, -74.01128928863521 40.70096911970464, -74.01128928863521 40.69756386390123, -74.0157808650558 40.69756386390123))","[7, 4]"
22,22,"POLYGON ((-74.0157808650558 40.70096911970464, -74.0157808650558 40.70437420143299, -74.01128928863521 40.70437420143299, -74.01128928863521 40.70096911970464, -74.0157808650558 40.70096911970464))","[7, 5]"
23,23,"POLYGON ((-74.0157808650558 40.70437420143299, -74.0157808650558 40.7077791090832, -74.01128928863521 40.7077791090832, -74.01128928863521 40.70437420143299, -74.0157808650558 40.70437420143299))","[7, 6]"
24,24,"POLYGON ((-74.0157808650558 40.7077791090832, -74.0157808650558 40.71118384265213, -74.01128928863521 40.71118384265213, -74.01128928863521 40.7077791090832, -74.0157808650558 40.7077791090832))","[7, 7]"
25,25,"POLYGON ((-74.0157808650558 40.71118384265213, -74.0157808650558 40.71458840213665, -74.01128928863521 40.71458840213665, -74.01128928863521 40.71118384265213, -74.0157808650558 40.71118384265213))","[7, 8]"
26,26,"POLYGON ((-74.0157808650558 40.71458840213665, -74.0157808650558 40.71799278753365, -74.01128928863521 40.71799278753365, -74.01128928863521 40.71458840213665, -74.0157808650558 40.71458840213665))","[7, 9]"
27,27,"POLYGON ((-74.0157808650558 40.71799278753365, -74.0157808650558 40.72139699884001, -74.01128928863521 40.72139699884001, -74.01128928863521 40.71799278753365, -74.0157808650558 40.71799278753365))","[7, 10]"
28,28,"POLYGON ((-74.0157808650558 40.72139699884001, -74.0157808650558 40.72480103605261, -74.01128928863521 40.72480103605261, -74.01128928863521 40.72139699884001, -74.0157808650558 40.72139699884001))","[7, 11]"
29,29,"POLYGON ((-74.0157808650558 40.72480103605261, -74.0157808650558 40.72820489916835, -74.01128928863521 40.72820489916835, -74.01128928863521 40.72480103605261, -74.0157808650558 40.72480103605261))","[7, 12]"
