,tile_ID,geometry,position
0,0,"POLYGON ((-74.0472219 40.68394109999999, -74.0472219 40.69075283008188, -74.0382387471588 40.69075283008188, -74.0382387471588 40.68394109999999, -74.0472219 40.68394109999999))","[0, 0]"
1,1,"POLYGON ((-74.0472219 40.69075283008188, -74.0472219 40.69756386390123, -74.0382387471588 40.69756386390123, -74.0382387471588 40.69075283008188, -74.0472219 40.69075283008188))","[0, 1]"
2,2,"POLYGON ((-74.0472219 40.69756386390123, -74.0472219 40.70437420143299, -74.0382387471588 40.70437420143299, -74.0382387471588 40.69756386390123, -74.0472219 40.69756386390123))","[0, 2]"
3,3,"POLYGON ((-74.0292555943176 40.68394109999999, -74.0292555943176 40.69075283008188, -74.02027244147641 40.69075283008188, -74.02027244147641 40.68394109999999, -74.0292555943176 40.68394109999999))","[2, 0]"
4,4,"POLYGON ((-74.0292555943176 40.69075283008188, -74.0292555943176 40.69756386390123, -74.02027244147641 40.69756386390123, -74.02027244147641 40.69075283008188, -74.0292555943176 40.69075283008188))","[2, 1]"
5,5,"POLYGON ((-74.02027244147641 40.68394109999999, -74.02027244147641 40.69075283008188, -74.01128928863521 40.69075283008188, -74.01128928863521 40.68394109999999, -74.02027244147641 40.68394109999999))","[3, 0]"
6,6,"POLYGON ((-74.02027244147641 40.69075283008188, -74.02027244147641 40.69756386390123, -74.01128928863521 40.69756386390123, -74.01128928863521 40.69075283008188, -74.02027244147641 40.69075283008188))","[3, 1]"
7,7,"POLYGON ((-74.02027244147641 40.69756386390123, -74.02027244147641 40.70437420143299, -74.01128928863521 40.70437420143299, -74.01128928863521 40.69756386390123, -74.02027244147641 40.69756386390123))","[3, 2]"
8,8,"POLYGON ((-74.02027244147641 40.70437420143299, -74.02027244147641 40.71118384265213, -74.01128928863521 40.71118384265213, -74.01128928863521 40.70437420143299, -74.02027244147641 40.70437420143299))","[3, 3]"
9,9,"POLYGON ((-74.02027244147641 40.71118384265213, -74.02027244147641 40.71799278753365, -74.01128928863521 40.71799278753365, -74.01128928863521 40.71118384265213, -74.02027244147641 40.71118384265213))","[3, 4]"
10,10,"POLYGON ((-74.02027244147641 40.71799278753365, -74.02027244147641 40.72480103605261, -74.01128928863521 40.72480103605261, -74.01128928863521 40.71799278753365, -74.02027244147641 40.71799278753365))","[3, 5]"
11,11,"POLYGON ((-74.02027244147641 40.72480103605261, -74.02027244147641 40.73160858818412, -74.01128928863521 40.73160858818412, -74.01128928863521 40.72480103605261, -74.02027244147641 40.72480103605261))","[3, 6]"
12,12,"POLYGON ((-74.02027244147641 40.73160858818412, -74.02027244147641 40.73841544390331, -74.01128928863521 40.73841544390331, -74.01128928863521 40.73160858818412, -74.02027244147641 40.73160858818412))","[3, 7]"
13,13,"POLYGON ((-74.02027244147641 40.73841544390331, -74.02027244147641 40.74522160318534, -74.01128928863521 40.74522160318534, -74.01128928863521 40.73841544390331, -74.02027244147641 40.73841544390331))","[3, 8]"
14,14,"POLYGON ((-74.02027244147641 40.74522160318534, -74.02027244147641 40.75202706600547, -74.01128928863521 40.75202706600547, -74.01128928863521 40.74522160318534, -74.02027244147641 40.74522160318534))","[3, 9]"
15,15,"POLYGON ((-74.01128928863521 40.69756386390123, -74.01128928863521 40.70437420143299, -74.00230613579402 40.70437420143299, -74.00230613579402 40.69756386390123, -74.01128928863521 40.69756386390123))","[4, 2]"
16,16,"POLYGON ((-74.01128928863521 40.70437420143299, -74.01128928863521 40.71118384265213, -74.00230613579402 40.71118384265213, -74.00230613579402 40.70437420143299, -74.01128928863521 40.70437420143299))","[4, 3]"
17,17,"POLYGON ((-74.01128928863521 40.71118384265213, -74.01128928863521 40.71799278753365, -74.00230613579402 40.71799278753365, -74.00230613579402 40.71118384265213, -74.01128928863521 40.71118384265213))","[4, 4]"
18,18,"POLYGON ((-74.01128928863521 40.71799278753365, -74.01128928863521 40.72480103605261, -74.00230613579402 40.72480103605261, -74.00230613579402 40.71799278753365, -74.01128928863521 40.71799278753365))","[4, 5]"
19,19,"POLYGON ((-74.01128928863521 40.72480103605261, -74.01128928863521 40.73160858818412, -74.00230613579402 40.73160858818412, -74.00230613579402 40.72480103605261, -74.01128928863521 40.72480103605261))","[4, 6]"
20,20,"POLYGON ((-74.01128928863521 40.73160858818412, -74.01128928863521 40.73841544390331, -74.00230613579402 40.73841544390331, -74.00230613579402 40.73160858818412, -74.01128928863521 40.73160858818412))","[4, 7]"
21,21,"POLYGON ((-74.01128928863521 40.73841544390331, -74.01128928863521 40.74522160318534, -74.00230613579402 40.74522160318534, -74.00230613579402 40.73841544390331, -74.01128928863521 40.73841544390331))","[4, 8]"
