,tile_ID,geometry,position
26,26,"POLYGON ((-74.0135350768455 40.74011704901576, -74.0135350768455 40.74522160318534, -74.00679771221461 40.74522160318534, -74.00679771221461 40.74011704901576, -74.0135350768455 40.74011704901576))","[5, 11]"
27,27,"POLYGON ((-74.0135350768455 40.74522160318534, -74.0135350768455 40.7503257655951, -74.00679771221461 40.7503257655951, -74.00679771221461 40.74522160318534, -74.0135350768455 40.74522160318534))","[5, 12]"
28,28,"POLYGON ((-74.0135350768455 40.7503257655951, -74.0135350768455 40.75542953623459, -74.00679771221461 40.75542953623459, -74.00679771221461 40.7503257655951, -74.0135350768455 40.7503257655951))","[5, 13]"
29,29,"POLYGON ((-74.0135350768455 40.75542953623459, -74.0135350768455 40.76053291509339, -74.00679771221461 40.76053291509339, -74.00679771221461 40.75542953623459, -74.0135350768455 40.75542953623459))","[5, 14]"
30,30,"POLYGON ((-74.00679771221461 40.69926651356212, -74.00679771221461 40.70437420143299, -74.00006034758371 40.70437420143299, -74.00006034758371 40.69926651356212, -74.00679771221461 40.69926651356212))","[6, 3]"
31,31,"POLYGON ((-74.00679771221461 40.70437420143299, -74.00679771221461 40.70948149762803, -74.00006034758371 40.70948149762803, -74.00006034758371 40.70437420143299, -74.00679771221461 40.70437420143299))","[6, 4]"
32,32,"POLYGON ((-74.00679771221461 40.70948149762803, -74.00679771221461 40.71458840213665, -74.00006034758371 40.71458840213665, -74.00006034758371 40.70948149762803, -74.00679771221461 40.70948149762803))","[6, 5]"
33,33,"POLYGON ((-74.00679771221461 40.71458840213665, -74.00679771221461 40.71969491494836, -74.00006034758371 40.71969491494836, -74.00006034758371 40.71458840213665, -74.00679771221461 40.71458840213665))","[6, 6]"
34,34,"POLYGON ((-74.00679771221461 40.71969491494836, -74.00679771221461 40.72480103605261, -74.00006034758371 40.72480103605261, -74.00006034758371 40.71969491494836, -74.00679771221461 40.71969491494836))","[6, 7]"
35,35,"POLYGON ((-74.00679771221461 40.72480103605261, -74.00679771221461 40.72990676543892, -74.00006034758371 40.72990676543892, -74.00006034758371 40.72480103605261, -74.00679771221461 40.72480103605261))","[6, 8]"
36,36,"POLYGON ((-74.00679771221461 40.72990676543892, -74.00679771221461 40.7350121030968, -74.00006034758371 40.7350121030968, -74.00006034758371 40.72990676543892, -74.00679771221461 40.72990676543892))","[6, 9]"
37,37,"POLYGON ((-74.00679771221461 40.7350121030968, -74.00679771221461 40.74011704901576, -74.00006034758371 40.74011704901576, -74.00006034758371 40.7350121030968, -74.00679771221461 40.7350121030968))","[6, 10]"
38,38,"POLYGON ((-74.00679771221461 40.74011704901576, -74.00679771221461 40.74522160318534, -74.00006034758371 40.74522160318534, -74.00006034758371 40.74011704901576, -74.00679771221461 40.74011704901576))","[6, 11]"
39,39,"POLYGON ((-74.00679771221461 40.74522160318534, -74.00679771221461 40.7503257655951, -74.00006034758371 40.7503257655951, -74.00006034758371 40.74522160318534, -74.00679771221461 40.74522160318534))","[6, 12]"
